path,hasLower,hasNum,base_size
fonts/Aleo-Light.otf,True,True,20.0
fonts/Aleo-LightItalic.otf,True,True,20.0
fonts/Aleo-Regular.otf,True,True,20.0
fonts/AlfaSlabOne-Regular.ttf,True,True,18.0
fonts/Alike-Regular.ttf,True,True,19.0
fonts/AlikeAngular-Regular.ttf,True,True,19.0
fonts/Allan-Bold.ttf,True,True,19.0
fonts/Allan-Regular.ttf,True,True,20.0
fonts/Aller_Std_Bd.ttf,True,True,19.0
fonts/Aller_Std_BdIt.ttf,True,True,19.0
fonts/Aller_Std_It.ttf,True,True,19.0
fonts/Aller_Std_Lt.ttf,True,True,19.0
fonts/Aller_Std_LtIt.ttf,True,True,19.0
fonts/Aller_Std_Rg.ttf,True,True,19.0
fonts/Almendra-Bold.ttf,True,True,20.0
fonts/Almendra-BoldItalic.ttf,True,True,20.0
fonts/Almendra-Italic.ttf,True,True,20.0
fonts/Almendra-Regular.ttf,True,True,20.0
fonts/AlnairStar-Regular.ttf,True,True,23.0
fonts/Alpha54.ttf,True,True,28.0
fonts/Alphahate.ttf,True,True,23.0
fonts/Alphd___.ttf,True,True,21.0
fonts/Alpine.ttf,True,True,23.0
fonts/AlteHaasGroteskBold.ttf,True,True,19.0
fonts/AlteHaasGroteskRegular.ttf,True,True,19.0
fonts/Always Together.otf,True,True,25.0
fonts/Amarante-Regular.ttf,True,True,20.0
fonts/Amaranth-Bold.ttf,True,True,20.0
fonts/Amaranth-BoldItalic.ttf,True,True,20.0
fonts/Amaranth-Italic.ttf,True,True,20.0
fonts/Amaranth-Regular.ttf,True,True,20.0
fonts/Amazonas.ttf,True,True,19.0
fonts/Amethysta-Regular.ttf,True,True,20.0
fonts/Amiko-Bold.ttf,True,True,19.0
fonts/Amiko-Regular.ttf,True,True,19.0
fonts/Amiko-SemiBold.ttf,True,True,19.0
fonts/Amsterdrum Grotesk.ttf,True,True,19.0
fonts/AnchorSteamNF.otf,True,True,30.0
fonts/Andada-Bold.otf,True,True,20.0
fonts/Andada-BoldItalic.otf,True,True,20.0
fonts/Andada-Italic.otf,True,True,20.0
fonts/Andada-Regular.otf,True,True,20.0
fonts/Andala-Bold.ttf,True,True,16.0
fonts/Andala-BoldItalic.ttf,True,True,16.0
fonts/Andala-Italic.ttf,True,True,16.0
fonts/Andala.ttf,True,True,16.0
fonts/Andika-R.ttf,True,True,20.0
fonts/Anita semi square.ttf,True,True,20.0
fonts/Anke.otf,True,True,19.0
fonts/Anke.ttf,True,True,19.0
fonts/AnonymousPro-Bold.ttf,True,True,22.0
fonts/AnonymousPro-BoldItalic.ttf,True,True,22.0
fonts/AnonymousPro-Italic.ttf,True,True,22.0
fonts/AnonymousPro-Regular.ttf,True,True,22.0
fonts/Answer-Italic.ttf,True,True,20.0
fonts/Answer.ttf,True,True,20.0
fonts/Answer3DFilled.ttf,True,True,17.0
fonts/Antapani-ExtraBold.otf,True,True,20.0
fonts/Antic-Regular.ttf,True,True,20.0
fonts/AnticDidone-Regular.ttf,True,True,20.0
fonts/AnticSlab-Regular.ttf,True,True,20.0
fonts/Antique Book Cover.otf,True,True,23.0
fonts/AntiqueNo14.ttf,True,True,22.0
fonts/Antonio-Bold.ttf,True,True,13.0
fonts/Antonio-Light.ttf,True,True,13.0
fonts/Antonio-Regular.ttf,True,True,13.0
fonts/Aquifer.otf,True,True,20.0
fonts/Aquifer.ttf,True,True,20.0
fonts/Arapey-Italic.ttf,True,True,22.0
fonts/Arapey-Regular.ttf,True,True,23.0
fonts/Arbutus-Regular.ttf,True,True,20.0
fonts/ArbutusSlab-Regular.ttf,True,True,20.0
fonts/Archivo-Bold.ttf,True,True,19.0
fonts/Archivo-BoldItalic.ttf,True,True,19.0
fonts/Archivo-Italic.ttf,True,True,19.0
fonts/Archivo-Medium.ttf,True,True,19.0
fonts/Archivo-MediumItalic.ttf,True,True,19.0
fonts/Archivo-Regular.ttf,True,True,19.0
fonts/Archivo-SemiBold.ttf,True,True,19.0
fonts/Archivo-SemiBoldItalic.ttf,True,True,19.0
fonts/ArchivoBlack-Regular.otf,True,True,19.0
fonts/ArchivoBlack-Regular.ttf,True,True,19.0
fonts/ArchivoNarrow-Bold.otf,True,True,19.0
fonts/ArchivoNarrow-Bold.ttf,True,True,19.0
fonts/ArchivoNarrow-BoldItalic.otf,True,True,19.0
fonts/ArchivoNarrow-BoldItalic.ttf,True,True,19.0
fonts/ArchivoNarrow-Italic.otf,True,True,19.0
fonts/ArchivoNarrow-Italic.ttf,True,True,19.0
fonts/ArchivoNarrow-Regular.otf,True,True,19.0
fonts/ArchivoNarrow-Regular.ttf,True,True,19.0
fonts/ArcoPerpetuo-Regular.ttf,True,True,19.0
fonts/Arcon-Regular.otf,True,True,23.0
fonts/Ardeco-webfont.ttf,True,True,20.0
fonts/ArgentumSans-Black.ttf,True,True,18.0
fonts/ArgentumSans-BlackItalic.ttf,True,True,18.0
fonts/ArgentumSans-Bold.ttf,True,True,18.0
fonts/ArgentumSans-BoldItalic.ttf,True,True,18.0
fonts/ArgentumSans-ExtraBold.ttf,True,True,18.0
fonts/ArgentumSans-ExtraBoldItalic.ttf,True,True,18.0
fonts/ArgentumSans-ExtraLight.ttf,True,True,19.0
fonts/ArgentumSans-ExtraLightItalic.ttf,True,True,19.0
fonts/ArgentumSans-Italic.ttf,True,True,19.0
