         2710492 function calls (2566112 primitive calls) in 3.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3504    0.001    0.000    0.004    0.000 _inputstream.py:234(char)
     3467    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     3446    0.002    0.000    0.083    0.000 parser.py:94(check_event)
     3441    0.001    0.000    0.001    0.000 {method 'groups' of 're.Match' objects}
3182/3174    0.001    0.000    0.001    0.000 wandb_settings.py:1153(__getattribute__)
     3136    0.001    0.000    0.001    0.000 nodes.py:82(get_eval_context)
     3080    0.001    0.000    0.003    0.000 idtracking.py:99(load)
     3038    0.001    0.000    0.001    0.000 boxes.py:138(padding_width)
     3038    0.001    0.000    0.002    0.000 boxes.py:146(border_width)
     3031    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     2942    0.001    0.000    0.001    0.000 wandb_config.py:132(__getitem__)
     2942    0.001    0.000    0.002    0.000 wandb_config.py:164(__getattr__)
     2912    0.001    0.000    0.001    0.000 nodes.py:407(as_const)
     2911    0.002    0.000    0.005    0.000 api.py:242(new)
     2911    0.001    0.000    0.001    0.000 {built-in method _cffi_backend.newp}
     2856    0.001    0.000    0.005    0.000 lexer.py:609(_normalize_newlines)
     2856    0.001    0.000    0.001    0.000 compiler.py:352(outdent)
     2772    0.001    0.000    0.001    0.000 compiler.py:348(indent)
     2767    0.002    0.000    0.003    0.000 scanner.py:1416(scan_line_break)
     2744    0.003    0.000    0.003    0.000 idtracking.py:41(_define_ref)
     2660    0.001    0.000    0.001    0.000 tokenizer.py:204(_is_name_start)
     2660    0.001    0.000    0.002    0.000 tokenizer.py:213(_is_ident_start)
     2652    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     2632    0.002    0.000    0.002    0.000 nodes.py:543(as_const)
     2604    0.002    0.000    0.003    0.000 compiler.py:1325(_output_const_repr)
     2576    0.001    0.000    0.004    0.000 computed_values.py:381(bleed)
     2572    0.000    0.000    0.001    0.000 os.py:758(decode)
     2436    0.005    0.000    0.034    0.000 parser.py:569(parse_primary)
     2424    0.001    0.000    0.001    0.000 wandb_settings.py:339(__setattr__)
2408/1624    0.001    0.000    0.111    0.000 parser.py:442(parse_expression)
2408/1624    0.002    0.000    0.107    0.000 parser.py:464(parse_or)
2408/1624    0.002    0.000    0.104    0.000 parser.py:473(parse_and)
2408/1624    0.002    0.000    0.100    0.000 parser.py:482(parse_not)
2408/1624    0.004    0.000    0.097    0.000 parser.py:488(parse_compare)
2408/1624    0.002    0.000    0.090    0.000 parser.py:511(parse_math1)
2408/1624    0.003    0.000    0.089    0.000 parser.py:522(parse_concat)
2408/1624    0.002    0.000    0.087    0.000 parser.py:532(parse_math2)
2408/1624    0.002    0.000    0.085    0.000 parser.py:543(parse_pow)
2408/1624    0.004    0.000    0.084    0.000 parser.py:553(parse_unary)
2408/1624    0.002    0.000    0.053    0.000 parser.py:694(parse_postfix)
     2408    0.001    0.000    0.001    0.000 parser.py:707(parse_filter_expr)
     2404    0.034    0.000    0.034    0.000 {method 'findall' of 're.Pattern' objects}
     2314    0.002    0.000    0.004    0.000 scanner.py:135(get_token)
     2263    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     2263    0.001    0.000    0.002    0.000 abc.py:137(__instancecheck__)
     2208    0.001    0.000    0.034    0.000 re.py:217(findall)
     2201    0.001    0.000    0.001    0.000 {method 'replace' of 'bytes' objects}
     2201    0.002    0.000    0.007    0.000 text.py:579(unicode_to_char_p)
     2194    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2171    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
     2156    0.001    0.000    0.001    0.000 parser.py:285(peek)
     2131    0.001    0.000    0.001    0.000 boxes.py:274(is_floated)
     2131    0.009    0.000    0.021    0.000 boxes.py:308(_reset_spacing)
2128/1344    0.002    0.000    0.099    0.000 parser.py:451(parse_condexpr)
     2128    0.000    0.000    0.000    0.000 __init__.py:576(declaration_precedence)
     2103    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
 2100/504    0.005    0.000    0.020    0.000 visitor.py:52(generic_visit)
 2100/504    0.005    0.000    0.022    0.000 optimizer.py:26(generic_visit)
     2100    0.001    0.000    0.002    0.000 api.py:421(gc)
     2100    0.001    0.000    0.001    0.000 {built-in method _cffi_backend.gcp}
2016/1932    0.001    0.000    0.001    0.000 idtracking.py:48(find_load)
     2016    0.001    0.000    0.001    0.000 compiler.py:833(<genexpr>)
     1960    0.004    0.000    0.007    0.000 compiler.py:1485(visit_Name)
     1918    0.001    0.000    0.001    0.000 scanner.py:325(unwind_indent)
 1917/303    0.003    0.000    0.006    0.000 copy.py:132(deepcopy)
     1916    0.003    0.000    0.006    0.000 scanner.py:752(scan_to_next_token)
     1916    0.004    0.000    0.050    0.000 scanner.py:156(fetch_more_tokens)
     1876    0.004    0.000    0.010    0.000 parser.py:895(flush_data)
     1837    0.000    0.000    0.000    0.000 boxes.py:282(is_running)
     1820    0.001    0.000    0.003    0.000 idtracking.py:95(declare_parameter)
     1739    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     1692    0.001    0.000    0.001    0.000 numerictypes.py:293(issubclass_)
     1680    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
     1680    0.013    0.000    0.082    0.000 compiler.py:1374(visit_Output)
     1680    0.003    0.000    0.005    0.000 idtracking.py:69(copy)
     1652    0.001    0.000    0.001    0.000 compiler.py:1284(_make_finalize)
     1652    0.000    0.000    0.000    0.000 blocks.py:694(<genexpr>)
     1610    0.000    0.000    0.000    0.000 draw.py:552(<genexpr>)
     1608    0.001    0.000    0.003    0.000 re.py:187(sub)
     1557    0.000    0.000    0.000    0.000 boxes.py:278(is_absolutely_positioned)
     1540    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
     1540    0.001    0.000    0.003    0.000 __init__.py:35(ascii_lower)
     1510    0.000    0.000    0.000    0.000 scanner.py:312(remove_possible_simple_key)
     1455    0.000    0.000    0.000    0.000 copy.py:190(_deepcopy_atomic)
     1437    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1428    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
     1428    0.001    0.000    0.016    0.000 idtracking.py:230(inner_visit)
     1428    0.001    0.000    0.001    0.000 ast.py:160(__init__)
     1402    0.001    0.000    0.004    0.000 _collections_abc.py:742(__iter__)
     1379    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     1372    0.001    0.000    0.003    0.000 lexer.py:288(test_any)
     1344    0.003    0.000    0.024    0.000 parser.py:405(parse_assign_target)
     1344    0.001    0.000    0.001    0.000 nodes.py:480(can_assign)
     1325    0.001    0.000    0.002    0.000 os.py:676(__getitem__)
     1325    0.000    0.000    0.001    0.000 os.py:754(encode)
     1319    0.001    0.000    0.003    0.000 {built-in method builtins.any}
     1317    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
     1314    0.001    0.000    0.001    0.000 text.py:775(add_attr)
     1302    0.000    0.000    0.001    0.000 os.py:699(__iter__)
     1292    0.000    0.000    0.000    0.000 tokens.py:3(__init__)
     1288    0.001    0.000    0.001    0.000 parser.py:117(is_tuple_end)
     1288    0.003    0.000    0.102    0.000 parser.py:602(parse_tuple)
     1271    0.003    0.000    0.008    0.000 scanner.py:1311(scan_plain_spaces)
     1264    0.000    0.000    0.002    0.000 scanner.py:125(peek_token)
     1244    0.000    0.000    0.000    0.000 parser.py:114(get_event)
     1232    0.000    0.000    0.001    0.000 compiler.py:589(<genexpr>)
     1232    0.001    0.000    0.001    0.000 boxes.py:166(content_box_x)
     1232    0.002    0.000    0.004    0.000 tree.py:23(__get__)
     1204    0.000    0.000    0.000    0.000 ast.py:211(__eq__)
     1176    0.002    0.000    0.003    0.000 tokenizer.py:231(_consume_ident)
     1148    0.000    0.000    0.000    0.000 compiler.py:671(parameter_is_undeclared)
     1148    0.001    0.000    0.001    0.000 computed_values.py:320(length)
     1148    0.001    0.000    0.002    0.000 tree.py:298(<genexpr>)
