         2710492 function calls (2566112 primitive calls) in 3.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.000    0.000    0.000    0.000 _tokenizer.py:1348(doctypeNameState)
      112    0.000    0.000    0.000    0.000 html5parser.py:451(processSpaceCharacters)
      112    0.000    0.000    0.000    0.000 __init__.py:32(add_selector)
      112    0.000    0.000    0.000    0.000 ast.py:796(__init__)
      112    0.000    0.000    0.003    0.000 __init__.py:364(_select_source)
      111    0.000    0.000    0.000    0.000 threading.py:335(notify)
      110    0.000    0.000    0.000    0.000 events.py:5(__init__)
      108    0.000    0.000    0.000    0.000 events.py:22(__init__)
      108    0.000    0.000    0.000    0.000 nodes.py:36(__init__)
      108    0.000    0.000    0.000    0.000 _collections.py:155(__getitem__)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      106    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
      106    0.000    0.000    0.000    0.000 fromnumeric.py:3037(ndim)
      106    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
      103    0.000    0.000    0.000    0.000 common.py:1708(_is_dtype_type)
      102    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(concatenate)
      102    0.000    0.000    0.000    0.000 multiarray.py:145(concatenate)
      101    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
      100    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
       99    0.000    0.000    0.001    0.000 message.py:588(get_content_maintype)
       99    0.000    0.000    0.001    0.000 parse.py:801(quote)
       99    0.001    0.000    0.001    0.000 posixpath.py:338(normpath)
       99    0.000    0.000    0.002    0.000 posixpath.py:376(abspath)
       97    0.000    0.000    0.687    0.007 {method 'readline' of '_io.BufferedReader' objects}
       97    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
       97    0.000    0.000    0.001    0.000 parse.py:872(quote_from_bytes)
       95    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       94    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       93    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
       92    0.000    0.000    0.000    0.000 _collections.py:186(__iter__)
       90    0.000    0.000    0.170    0.002 transforms_interface.py:92(__call__)
    90/70    0.000    0.000    0.001    0.000 copy.py:274(<genexpr>)
       88    0.000    0.000    0.000    0.000 formatting.py:221(__init__)
       88    0.000    0.000    0.000    0.000 formatting.py:235(__init__)
       88    0.000    0.000    0.000    0.000 formatting.py:399(__init__)
       88    0.000    0.000    0.000    0.000 formatting.py:434(__init__)
       88    0.001    0.000    0.001    0.000 table.py:76(_interpolation_search)
       88    0.001    0.000    0.001    0.000 {method 'slice' of 'pyarrow.lib.RecordBatch' objects}
       87    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
       87    0.000    0.000    0.000    0.000 _collections.py:214(add)
       85    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       84    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
       84    0.000    0.000    0.000    0.000 util.py:1802(_is_artifact_object)
       84    0.000    0.000    0.000    0.000 util.py:1810(_is_artifact_version_weave_dict)
       84    0.000    0.000    0.000    0.000 util.py:1814(_is_artifact_representation)
       84    0.001    0.000    0.009    0.000 parser.py:304(parse_import)
       84    0.000    0.000    0.000    0.000 runtime.py:245(get_exported)
       84    0.000    0.000    0.001    0.000 compiler.py:977(visit_Import)
       84    0.000    0.000    0.001    0.000 idtracking.py:246(visit_Import)
       84    0.000    0.000    0.000    0.000 utils.py:573(<genexpr>)
       84    0.000    0.000    0.004    0.000 environment.py:1148(make_module)
       84    0.000    0.000    0.005    0.000 environment.py:1168(_get_default_module)
       84    0.001    0.000    0.002    0.000 environment.py:1229(__init__)
       84    0.000    0.000    0.000    0.000 compiler.py:614(<genexpr>)
       84    0.000    0.000    0.000    0.000 compiler.py:656(get_context_ref)
       84    0.000    0.000    0.000    0.000 blocks.py:498(<genexpr>)
       84    0.000    0.000    0.004    0.000 descriptors.py:34(preprocess_descriptors)
       84    0.000    0.000    0.005    0.000 utils.py:160(wrapper)
       84    0.000    0.000    0.000    0.000 computed_values.py:296(<genexpr>)
       84    0.000    0.000    0.000    0.000 computed_values.py:304(<genexpr>)
       84    0.000    0.000    0.001    0.000 urls.py:110(url_is_absolute)
       84    0.000    0.000    0.000    0.000 request.py:407(add_header)
       84    0.000    0.000    0.001    0.000 message.py:667(get_param)
       84    0.000    0.000    0.000    0.000 message.py:424(<listcomp>)
       84    0.000    0.000    0.000    0.000 message.py:423(__contains__)
       84    0.000    0.000    0.007    0.000 tree.py:297(<genexpr>)
       84    0.000    0.000    0.000    0.000 compiler.py:136(<genexpr>)
       84    0.001    0.000    0.001    0.000 parser.py:353(_consume_at_rule)
       84    0.000    0.000    0.000    0.000 ast.py:281(__init__)
       84    0.000    0.000    0.000    0.000 ast.py:857(__init__)
       83    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_float}
       81    0.000    0.000    0.000    0.000 {pandas._libs.lib.values_from_object}
       80    0.000    0.000    0.000    0.000 composition.py:112(add_targets)
       80    0.000    0.000    0.002    0.000 composition.py:133(__init__)
       80    0.000    0.000    0.002    0.000 parser.py:422(parse_block_mapping_first_key)
     80/2    0.001    0.000    0.093    0.046 composer.py:117(compose_mapping_node)
       80    0.000    0.000    0.002    0.000 constructor.py:132(construct_mapping)
       80    0.000    0.000    0.000    0.000 constructor.py:180(flatten_mapping)
       80    0.000    0.000    0.002    0.000 constructor.py:215(construct_mapping)
       78    0.000    0.000    0.000    0.000 dtypes.py:75(find)
       77    0.000    0.000    0.000    0.000 common.py:1565(is_extension_array_dtype)
       76    0.000    0.000    0.000    0.000 common.py:335(apply_if_callable)
       76    0.000    0.000    0.004    0.000 fromnumeric.py:42(_wrapit)
       74    0.000    0.000    0.039    0.001 <__array_function__ internals>:2(argwhere)
       74    0.000    0.000    0.000    0.000 fromnumeric.py:600(_transpose_dispatcher)
       74    0.000    0.000    0.004    0.000 fromnumeric.py:604(transpose)
       74    0.000    0.000    0.000    0.000 fromnumeric.py:1800(_nonzero_dispatcher)
       74    0.000    0.000    0.033    0.000 fromnumeric.py:1804(nonzero)
       74    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(transpose)
       74    0.000    0.000    0.033    0.000 <__array_function__ internals>:2(nonzero)
       74    0.000    0.000    0.000    0.000 numeric.py:533(_argwhere_dispatcher)
       74    0.000    0.000    0.038    0.001 numeric.py:537(argwhere)
       74    0.033    0.000    0.033    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       73    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       72    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       70    0.000    0.000    0.001    0.000 composition.py:294(__init__)
       70    0.000    0.000    0.000    0.000 composition.py:183(_disable_check_args)
       70    0.000    0.000    0.000    0.000 composition.py:298(<listcomp>)
       70    0.000    0.000    0.000    0.000 composition.py:296(<listcomp>)
       70    0.000    0.000    0.000    0.000 common.py:208(<lambda>)
       70    0.000    0.000    0.000    0.000 common.py:206(classes)
       69    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
       67    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
       66    0.000    0.000    0.000    0.000 {method 'truncate' of '_io.StringIO' objects}
       66    0.000    0.000    0.000    0.000 range.py:675(__len__)
       66    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
       66    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
       66    0.000    0.000    0.004    0.000 feedparser.py:178(_call_parse)
       66    0.001    0.000    0.003    0.000 feedparser.py:218(_parsegen)
       64    0.000    0.000    0.000    0.000 features.py:114(string_to_arrow)
       64    0.000    0.000    0.000    0.000 features.py:492(__post_init__)
       64    0.000    0.000    0.000    0.000 {pyarrow.lib.string}
       63    0.007    0.000    0.007    0.000 {built-in method posix.open}
       60    0.000    0.000    0.166    0.003 composition.py:300(__call__)
       60    0.000    0.000    0.000    0.000 timeout.py:112(_validate_timeout)
       60    0.000    0.000    0.000    0.000 url.py:411(ensure_type)
       60    0.000    0.000    0.000    0.000 Image.py:539(size)
       60    0.000    0.000    0.000    0.000 queue.py:153(get)
       59    0.000    0.000    0.000    0.000 {built-in method posix.close}
       59    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       58    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       57    0.000    0.000    0.000    0.000 inference.py:358(is_hashable)
       57    0.000    0.000    0.000    0.000 tempfile.py:287(gettempdir)
       56    0.002    0.000    0.002    0.000 {built-in method posix.write}
       56    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       56    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       56    0.000    0.000    0.000    0.000 features.py:1451(require_decoding)
       56    0.000    0.000    0.002    0.000 constructor.py:405(construct_yaml_seq)
       56    0.000    0.000    0.001    0.000 _ufunc_config.py:39(seterr)
       56    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
       56    0.000    0.000    0.000    0.000 etree.py:193(__init__)
       56    0.000    0.000    0.000    0.000 etree.py:62(_getAttributes)
       56    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       56    0.000    0.000    0.002    0.000 parser.py:749(parse_subscribed)
       56    0.000    0.000    0.001    0.000 compiler.py:1653(visit_Getitem)
       56    0.000    0.000    0.000    0.000 environment.py:449(getitem)
    56/28    0.001    0.000    0.054    0.002 draw.py:185(draw_stacking_context)
       56    0.000    0.000    0.000    0.000 stacking.py:25(__init__)
       56    0.000    0.000    0.000    0.000 pages.py:464(page_width_or_height)
       56    0.000    0.000    0.217    0.004 pages.py:786(make_all_pages)
       56    0.000    0.000    0.000    0.000 <string>:1(<genexpr>)
       56    0.000    0.000    0.000    0.000 __init__.py:82(layout_fixed_boxes)
       56    0.001    0.000    0.263    0.005 __init__.py:104(layout_document)
       56    0.000    0.000    0.000    0.000 expanders.py:271(add)
       56    0.000    0.000    0.000    0.000 descriptors.py:139(<genexpr>)
       56    0.000    0.000    0.000    0.000 descriptors.py:141(<genexpr>)
       56    0.000    0.000    0.000    0.000 properties.py:606(font_family)
       56    0.000    0.000    0.000    0.000 properties.py:778(font_size)
       56    0.000    0.000    0.000    0.000 utils.py:173(get_keyword)
       56    0.000    0.000    0.000    0.000 context.py:999(rectangle)
       56    0.000    0.000    0.000    0.000 context.py:1578(clip)
       56    0.000    0.000    0.000    0.000 {method 'gc' of '_cffi_backend.FFI' objects}
       56    0.000    0.000    0.000    0.000 __init__.py:55(__init__)
       56    0.000    0.000    0.000    0.000 __init__.py:59(__call__)
       56    0.001    0.000    0.116    0.002 __init__.py:237(find_stylesheets)
       56    0.000    0.000    0.000    0.000 __init__.py:673(parse_page_selectors)
       56    0.000    0.000    0.000    0.000 computed_values.py:288(<genexpr>)
       56    0.000    0.000    0.000    0.000 computed_values.py:407(<genexpr>)
       56    0.000    0.000    0.000    0.000 computed_values.py:597(font_size)
       56    0.000    0.000    0.002    0.000 urls.py:168(ensure_url)
       56    0.000    0.000    0.022    0.000 urls.py:280(fetch)
       56    0.000    0.000    0.000    0.000 tempfile.py:93(_infer_return_type)
       56    0.000    0.000    0.000    0.000 tempfile.py:114(_sanitize_params)
       56    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       56    0.000    0.000    0.001    0.000 tempfile.py:156(<listcomp>)
       56    0.000    0.000    0.002    0.000 tempfile.py:153(__next__)
       56    0.000    0.000    0.000    0.000 tempfile.py:233(_get_candidate_names)
       56    0.000    0.000    0.006    0.000 tempfile.py:247(_mkstemp_inner)
       56    0.000    0.000    0.006    0.000 tempfile.py:303(mkstemp)
       56    0.000    0.000    0.000    0.000 tempfile.py:437(close)
       56    0.000    0.000    0.000    0.000 _tokenizer.py:857(beforeAttributeNameState)
       56    0.000    0.000    0.000    0.000 _tokenizer.py:973(beforeAttributeValueState)
       56    0.000    0.000    0.000    0.000 _tokenizer.py:1007(attributeValueDoubleQuotedState)
       56    0.000    0.000    0.001    0.000 _tokenizer.py:1045(attributeValueUnQuotedState)
       56    0.000    0.000    0.000    0.000 _tokenizer.py:1123(markupDeclarationOpenState)
       56    0.000    0.000    0.000    0.000 _tokenizer.py:1214(commentState)
       56    0.000    0.000    0.001    0.000 urls.py:64(iri_to_uri)
       56    0.000    0.000    0.017    0.000 request.py:496(_call_chain)
       56    0.000    0.000    0.000    0.000 {method 'iter' of 'xml.etree.ElementTree.Element' objects}
       56    0.000    0.000    0.000    0.000 _tokenizer.py:324(rawtextState)
       56    0.000    0.000    0.001    0.000 message.py:624(_get_params_preserve)
       56    0.000    0.000    0.000    0.000 base.py:390(generateImpliedEndTags)
       56    0.000    0.000    0.000    0.000 base.py:312(_setInsertFromTable)
       56    0.000    0.000    0.001    0.000 base.py:184(reset)
       56    0.000    0.000    0.000    0.000 utils.py:257(decode_params)
       56    0.000    0.000    0.000    0.000 message.py:73(_parseparam)
       56    0.000    0.000    0.001    0.000 html5parser.py:1041(startTagCloseP)
       56    0.000    0.000    0.000    0.000 _inputstream.py:218(_position)
       56    0.000    0.000    0.003    0.000 _inputstream.py:249(readChunk)
       56    0.000    0.000    0.015    0.000 tree.py:260(<listcomp>)
       56    0.000    0.000    0.015    0.000 tree.py:257(_compile)
       56    0.000    0.000    0.016    0.000 tree.py:278(query_all)
       56    0.000    0.000    0.000    0.000 html5parser.py:644(processSpaceCharacters)
       56    0.000    0.000    0.000    0.000 parse.py:885(<listcomp>)
       56    0.000    0.000    0.000    0.000 parse.py:996(splittype)
       56    0.000    0.000    0.000    0.000 __init__.py:377(<listcomp>)
       56    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       56    0.000    0.000    0.000    0.000 pixel_dataset_generator.py:47(__getitem__)
       55    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
       55    0.000    0.000    0.000    0.000 queue.py:17(_put)
       55    0.000    0.000    0.000    0.000 queue.py:20(_get)
       55    0.000    0.000    0.000    0.000 queue.py:121(put)
       54    0.002    0.000    0.002    0.000 {built-in method posix.remove}
       53    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_scalar}
       52    0.000    0.000    0.000    0.000 Image.py:512(__init__)
       51    0.000    0.000    0.000    0.000 dataclasses.py:1013(fields)
       50    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       50    0.000    0.000    0.000    0.000 {built-in method sys.getsizeof}
       50    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       50    0.000    0.000    0.000    0.000 util.py:411(get_full_typename)
       50    0.000    0.000    0.000    0.000 util.py:523(is_tf_tensor_typename)
       50    0.000    0.000    0.000    0.000 util.py:529(is_tf_eager_tensor_typename)
       50    0.000    0.000    0.000    0.000 util.py:539(is_pytorch_tensor_typename)
       50    0.000    0.000    0.000    0.000 util.py:545(is_jax_tensor_typename)
       50    0.000    0.000    0.000    0.000 util.py:555(is_fastai_tensor_typename)
       50    0.000    0.000    0.000    0.000 util.py:575(is_numpy_array)
       50    0.000    0.000    0.000    0.000 util.py:707(json_friendly)
    50/42    0.000    0.000    0.001    0.000 util.py:772(json_friendly_val)
       50    0.000    0.000    0.000    0.000 transforms_interface.py:41(to_tuple)
       50    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
       50    0.000    0.000    0.000    0.000 multiarray.py:1043(copyto)
       50    0.000    0.000    0.000    0.000 random.py:681(getrandbits)
       49    0.000    0.000    0.000    0.000 constructor.py:237(construct_yaml_int)
       48    0.000    0.000    0.000    0.000 {built-in method time.time}
       48    0.000    0.000    0.000    0.000 common.py:542(is_categorical_dtype)
       48    0.000    0.000    0.000    0.000 version.py:202(<genexpr>)
       48    0.000    0.000    0.000    0.000 version.py:242(<genexpr>)
       47    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       47    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       47    0.061    0.001    0.063    0.001 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       47    0.000    0.000    0.000    0.000 _methods.py:44(_any)
       46    0.000    0.000    0.000    0.000 transforms_interface.py:130(<dictcomp>)
       46    0.000    0.000    0.156    0.003 transforms_interface.py:122(apply_with_params)
       46    0.000    0.000    0.000    0.000 transforms_interface.py:147(_get_target_function)
       46    0.000    0.000    0.000    0.000 transforms_interface.py:168(update_params)
       46    0.000    0.000    0.000    0.000 transforms_interface.py:178(target_dependence)
       46    0.000    0.000    0.000    0.000 arrow_dataset.py:184(features)
       46    0.000    0.000    0.002    0.000 _methods.py:28(_amax)
       46    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.ndarray' objects}
       46    0.000    0.000    0.002    0.000 {method 'max' of 'numpy.ndarray' objects}
       46    0.000    0.000    0.000    0.000 Image.py:2875(_check_size)
       46    0.000    0.000    0.000    0.000 parse.py:157(hostname)
       46    0.000    0.000    0.000    0.000 parse.py:193(_hostinfo)
       45    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       45    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
     45/9    0.000    0.000    0.000    0.000 features.py:1312(generate_from_dict)
       45    0.000    0.000    0.000    0.000 six.py:959(ensure_text)
       45    0.000    0.000    0.001    0.000 construction.py:337(extract_array)
       45    0.000    0.000    0.000    0.000 fromnumeric.py:2232(_any_dispatcher)
       45    0.000    0.000    0.001    0.000 fromnumeric.py:2236(any)
       45    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(any)
       45    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       45    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
    45/33    0.000    0.000    0.001    0.000 copy.py:269(_reconstruct)
       44    0.000    0.000    0.000    0.000 transforms_interface.py:158(get_params)
       44    0.000    0.000    0.000    0.000 __init__.py:108(get_format_type_from_alias)
       44    0.000    0.000    0.001    0.000 __init__.py:116(get_formatter)
       44    0.000    0.000    0.003    0.000 formatting.py:80(_query_table)
       44    0.000    0.000    0.000    0.000 formatting.py:128(<dictcomp>)
       44    0.000    0.000    0.000    0.000 formatting.py:126(_unnest)
       44    0.000    0.000    0.004    0.000 formatting.py:143(extract_row)
       44    0.000    0.000    0.001    0.000 formatting.py:224(decode_row)
       44    0.000    0.000    0.006    0.000 formatting.py:404(__call__)
       44    0.000    0.000    0.006    0.000 formatting.py:438(format_row)
       44    0.000    0.000    0.000    0.000 formatting.py:528(_check_valid_index_key)
       44    0.000    0.000    0.000    0.000 formatting.py:547(key_to_query_type)
       44    0.000    0.000    0.003    0.000 formatting.py:557(query_table)
       44    0.000    0.000    0.007    0.000 formatting.py:597(format_table)
       44    0.000    0.000    0.001    0.000 features.py:1844(<dictcomp>)
       44    0.000    0.000    0.000    0.000 features.py:1849(<dictcomp>)
       44    0.000    0.000    0.001    0.000 features.py:1830(decode_example)
       44    0.001    0.000    0.003    0.000 table.py:127(fast_slice)
       44    0.000    0.000    0.000    0.000 arrow_dataset.py:1646(num_rows)
       44    0.000    0.000    0.000    0.000 arrow_dataset.py:2210(__len__)
       44    0.000    0.000    0.011    0.000 arrow_dataset.py:2630(_getitem)
       44    0.000    0.000    0.011    0.000 arrow_dataset.py:2656(__getitem__)
       44    0.004    0.000    0.004    0.000 {method 'to_pydict' of 'pyarrow.lib.Table' objects}
       44    0.001    0.000    0.001    0.000 {pyarrow.lib.from_batches}
       44    0.000    0.000    0.002    0.000 pixel_dataset_generator.py:338(_clean_paragraphs)
       44    0.000    0.000    0.000    0.000 pixel_dataset_generator.py:344(<listcomp>)
       44    0.001    0.000    0.002    0.000 pixel_dataset_generator.py:346(<listcomp>)
       43    0.000    0.000    0.000    0.000 blocks.py:339(dtype)
       43    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       43    0.000    0.000    0.001    0.000 genericpath.py:39(isdir)
       42    0.000    0.000    0.000    0.000 wandb_config.py:135(_check_locked)
       42    0.000    0.000    0.000    0.000 transforms_interface.py:193(targets_as_params)
       42    0.000    0.000    0.001    0.000 numeric.py:283(full)
       42    0.000    0.000    0.001    0.000 wandb_config.py:245(_sanitize)
       42    0.000    0.000    0.000    0.000 parse.py:461(<genexpr>)
       41    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
       41    0.000    0.000    0.000    0.000 posixpath.py:121(splitext)
       41    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
       41    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
       40    0.000    0.000    0.000    0.000 transforms.py:1826(__check_values)
       40    0.000    0.000    0.000    0.000 composition.py:70(__getitem__)
       40    0.000    0.000    0.000    0.000 series.py:414(dtype)
       40    0.000    0.000    0.000    0.000 managers.py:1548(dtype)
       40    0.000    0.000    0.000    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
       40    0.000    0.000    0.001    0.000 shlex.py:101(get_token)
       39    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       39    0.000    0.000    0.000    0.000 py_utils.py:176(_is_dataclass_instance)
       39    0.000    0.000    0.000    0.000 dataclasses.py:1036(is_dataclass)
       39    0.000    0.000    0.000    0.000 parse.py:397(_checknetloc)
       38    0.000    0.000    0.000    0.000 {built-in method _collections._count_elements}
     38/1    0.000    0.000    0.000    0.000 py_utils.py:180(_asdict_inner)
       38    0.000    0.000    0.000    0.000 series.py:515(array)
       38    0.000    0.000    0.000    0.000 series.py:520(_internal_get_values)
       38    0.000    0.000    0.003    0.000 series.py:868(__getitem__)
       38    0.000    0.000    0.000    0.000 managers.py:1568(get_values)
       38    0.000    0.000    0.000    0.000 blocks.py:219(array_values)
       38    0.000    0.000    0.000    0.000 blocks.py:240(to_dense)
       38    0.000    0.000    0.000    0.000 numeric.py:261(_convert_scalar_indexer)
       38    0.000    0.000    0.000    0.000 generic.py:3581(_get_item_cache)
       38    0.000    0.000    0.001    0.000 frame.py:2767(__getitem__)
       38    0.000    0.000    0.000    0.000 numpy_.py:42(__init__)
       38    0.000    0.000    0.000    0.000 numpy_.py:138(__init__)
       38    0.000    0.000    0.000    0.000 numpy_.py:421(to_numpy)
       38    0.000    0.000    0.000    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
       38    0.000    0.000    0.000    0.000 base.py:1383(nlevels)
       38    0.000    0.000    0.000    0.000 base.py:2853(_convert_scalar_indexer)
       38    0.000    0.000    0.000    0.000 base.py:3898(__contains__)
       38    0.000    0.000    0.002    0.000 base.py:4373(get_value)
       38    0.000    0.000    0.000    0.000 {pandas._libs.lib.item_from_zerodim}
       38    0.000    0.000    0.000    0.000 base.py:4723(_maybe_cast_indexer)
       38    0.000    0.000    0.000    0.000 message.py:120(__init__)
       38    0.000    0.000    0.000    0.000 parse.py:479(urlunparse)
       38    0.000    0.000    0.000    0.000 parse.py:490(urlunsplit)
       38    0.000    0.000    0.000    0.000 __init__.py:550(__init__)
       38    0.000    0.000    0.000    0.000 __init__.py:619(update)
       37    0.000    0.000    0.000    0.000 metadata.py:13(<listcomp>)
       37    0.000    0.000    0.000    0.000 metadata.py:9(_check_no_duplicates_on_constructed_node)
       37    0.000    0.000    0.001    0.000 metadata.py:17(construct_mapping)
       37    0.000    0.000    0.000    0.000 metadata.py:11(<listcomp>)
       37    0.000    0.000    0.000    0.000 metadata.py:10(<listcomp>)
       36    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       36    0.000    0.000    0.000    0.000 features.py:1334(<setcomp>)
       36    0.000    0.000    0.000    0.000 features.py:1335(<dictcomp>)
       36    0.000    0.000    0.000    0.000 version.py:452(_parse_letter_version)
       35    0.000    0.000    0.001    0.000 sessions.py:50(merge_setting)
       35    0.000    0.000    0.000    0.000 utils.py:287(to_key_val_list)
       35    0.000    0.000    0.001    0.000 shlex.py:133(read_token)
       34    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       34    0.000    0.000    0.028    0.001 pretraining_block.html.jinja:5(root)
       34    0.000    0.000    0.000    0.000 wandb_settings.py:89(_str_as_bool)
       34    0.000    0.000    0.000    0.000 Image.py:543(_new)
       34    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       33    0.000    0.000    0.024    0.001 base.html.jinja:5(root)
       33    0.000    0.000    0.000    0.000 cookiejar.py:1216(vals_sorted_by_key)
       33    0.000    0.000    0.000    0.000 cookiejar.py:1220(deepvalues)
       33    0.000    0.000    0.000    0.000 cookiejar.py:1747(__iter__)
       33    0.000    0.000    0.000    0.000 url.py:303(<listcomp>)
       33    0.000    0.000    0.000    0.000 url.py:302(_idna_encode)
       33    0.000    0.000    0.000    0.000 common.py:1844(pandas_dtype)
       33    0.000    0.000    0.000    0.000 common.py:216(<lambda>)
       33    0.000    0.000    0.000    0.000 common.py:211(classes_and_not_datetimelike)
       33    0.000    0.000    0.000    0.000 threading.py:75(RLock)
       33    0.000    0.000    0.000    0.000 message.py:303(set_payload)
       33    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
       33    0.000    0.000    0.000    0.000 feedparser.py:70(close)
       33    0.000    0.000    0.001    0.000 feedparser.py:101(push)
       33    0.000    0.000    0.001    0.000 feedparser.py:139(__init__)
       33    0.000    0.000    0.002    0.000 feedparser.py:173(feed)
       33    0.000    0.000    0.002    0.000 feedparser.py:184(close)
       33    0.000    0.000    0.000    0.000 feedparser.py:197(_new_message)
       33    0.000    0.000    0.000    0.000 feedparser.py:210(_pop_message)
       33    0.000    0.000    0.001    0.000 feedparser.py:471(_parse_headers)
       33    0.000    0.000    0.000    0.000 parser.py:17(__init__)
       33    0.000    0.000    0.006    0.000 parser.py:41(parse)
       33    0.000    0.000    0.006    0.000 parser.py:59(parsestr)
       33    0.000    0.000    0.000    0.000 parse.py:629(unquote)
       32    0.000    0.000    0.000    0.000 transforms_interface.py:237(targets)
       32    0.000    0.000    0.001    0.000 _methods.py:63(_clip_dep_is_scalar_nan)
       32    0.000    0.000    0.000    0.000 _methods.py:73(_clip_dep_is_byte_swapped)
       32    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
       32    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       31    0.000    0.000    0.000    0.000 base.py:615(__len__)
       31    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
       30    0.000    0.000    0.149    0.005 transforms.py:1646(apply)
       30    0.000    0.000    0.000    0.000 transforms.py:1202(__init__)
     30/6    0.000    0.000    0.000    0.000 features.py:1764(from_yaml_inner)
       30    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
       30    0.000    0.000    0.000    0.000 client.py:1006(_output)
       30    0.000    0.000    0.000    0.000 html5parser.py:997(processCharacters)
       30    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
       29    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       29    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
       29    0.000    0.000    0.002    0.000 copy.py:221(<listcomp>)
       29    0.000    0.000    0.002    0.000 copy.py:220(_deepcopy_tuple)
       29    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
       28    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
    28/16    0.001    0.000    0.070    0.004 composer.py:99(compose_sequence_node)
       28    0.000    0.000    0.002    0.000 constructor.py:129(<listcomp>)
       28    0.000    0.000    0.002    0.000 constructor.py:124(construct_sequence)
       28    0.000    0.000    0.000    0.000 environment.py:83(create_cache)
       28    0.000    0.000    0.000    0.000 utils.py:339(__init__)
       28    0.000    0.000    0.000    0.000 utils.py:345(_postinit)
       28    0.004    0.000    0.004    0.000 {cvtColor}
       28    0.000    0.000    0.001    0.000 _ufunc_config.py:441(__enter__)
