path,hasLower,hasNums,hasBrackets
fonts/AccanthisADFStdNo2-Regular.otf,True,True,True
fonts/AccanthisADFStdNo3-Bold.otf,True,True,True
fonts/AccanthisADFStdNo3-BoldItalic.otf,True,True,True
fonts/AccanthisADFStdNo3-Italic.otf,True,True,True
fonts/AccanthisADFStdNo3-Regular.otf,True,True,True
fonts/Accuratist.otf,True,True,True
fonts/Accuratist.ttf,True,True,True
fonts/Achafexp.ttf,True,True,True
fonts/Achafita.ttf,True,True,True
fonts/Achaflft.ttf,True,True,True
fonts/Achafont.ttf,True,True,True
fonts/Achafout.ttf,True,True,True
fonts/Achafsex.ttf,True,True,True
fonts/AcidDreamer.ttf,True,True,True
fonts/AckiPreschool.ttf,True,True,False
fonts/Aclonica.ttf,True,True,True
fonts/Acme-Regular.ttf,True,True,True
fonts/AcornInitials.ttf,False,False,False
fonts/Actor-Regular.ttf,True,True,True
fonts/Adamina-Regular.ttf,True,True,True
fonts/Adine Kirnberg.ttf,True,True,True
fonts/AdineKirnberg-Alternate.ttf,True,True,True
fonts/AdineKirnberg-Script.ttf,True,True,False
fonts/Adlanta-Light.otf,True,True,True
fonts/Adlanta.otf,True,True,True
fonts/Adler.ttf,True,True,False
fonts/AdmiralCAT.ttf,True,True,True
fonts/Adolphus Serif.ttf,True,True,True
fonts/Adolphus.ttf,True,True,True
fonts/Advantage-Italic.ttf,False,True,False
fonts/Advantage.ttf,False,True,False
fonts/AdventPro-Bold.ttf,True,True,True
fonts/AdventPro-ExtraLight.ttf,True,True,True
fonts/AdventPro-Light.ttf,True,True,True
fonts/AdventPro-Medium.ttf,True,True,True
fonts/AdventPro-Regular.ttf,True,True,True
fonts/AdventPro-SemiBold.ttf,True,True,True
fonts/AdventPro-Thin.ttf,True,True,True
fonts/AerojonesNF.ttf,False,True,False
fonts/Against Myself.ttf,False,False,False
fonts/Agfiustor Free.ttf,True,True,False
fonts/Agreloy.otf,False,True,True
fonts/Agreloy.ttf,False,True,True
fonts/AgreloyInB1.otf,False,True,True
fonts/AgreloyInB1.ttf,False,True,True
fonts/AgreloyInT3.otf,False,True,True
fonts/AgreloyInT3.ttf,False,True,True
fonts/AgreloyOut1.otf,False,True,True
fonts/AgreloyOut1.ttf,False,True,True
fonts/AgreloyS1.otf,False,True,True
fonts/AgreloyS1.ttf,False,True,True
fonts/AguafinaScript-Regular.ttf,True,True,True
fonts/Aika-Bold.otf,True,True,False
fonts/Aika-Bold.ttf,True,True,False
fonts/Aika-BoldItalic.otf,True,True,False
fonts/Aika-BoldItalic.ttf,True,True,False
fonts/Aika-Italic.otf,True,True,False
fonts/Aika-Italic.ttf,True,True,False
fonts/Aika-Regular.otf,True,True,False
fonts/Aika-Regular.ttf,True,True,False
fonts/Aileron-Black.otf,True,True,True
fonts/Aileron-BlackItalic.otf,True,True,True
fonts/Aileron-Bold.otf,True,True,True
fonts/Aileron-BoldItalic.otf,True,True,True
fonts/Aileron-Heavy.otf,True,True,True
fonts/Aileron-HeavyItalic.otf,True,True,True
fonts/Aileron-Italic.otf,True,True,True
fonts/Aileron-Light.otf,True,True,True
fonts/Aileron-LightItalic.otf,True,True,True
fonts/Aileron-Regular.otf,True,True,True
fonts/Aileron-SemiBold.otf,True,True,True
fonts/Aileron-SemiBoldItalic.otf,True,True,True
fonts/Aileron-Thin.otf,True,True,True
fonts/Aileron-ThinItalic.otf,True,True,True
fonts/Aileron-UltraLight.otf,True,True,True
fonts/Aileron-UltraLightItalic.otf,True,True,True
fonts/Air Americana.ttf,False,True,True
fonts/Airbrush.otf,False,True,False
fonts/Airbrush.ttf,False,True,False
fonts/Airstream Futuropolis Regular Mac.ttf,True,True,True
fonts/Airstream Futuropolis Regular.ttf,True,True,True
fonts/AirstreamNF.otf,True,True,True
fonts/AirstreamNF.ttf,True,True,True
fonts/Akong_agi.ttf,True,True,True
fonts/Akura Popo.otf,True,True,True
fonts/Akura Popo.ttf,True,True,True
fonts/Aladin-Regular.ttf,True,True,True
fonts/Alanden_.ttf,True,True,False
fonts/AlanisHand.ttf,True,True,True
fonts/Alanus.ttf,True,True,True
fonts/AlbertText-Bold.ttf,True,True,True
fonts/Albumme Smooth.ttf,True,False,False
fonts/Aldrich-Regular.ttf,True,True,True
fonts/Alef-Bold.ttf,True,True,True
fonts/Alef-Regular.ttf,True,True,True
fonts/Alegreya-Black.ttf,True,True,True
fonts/Alegreya-BlackItalic.ttf,True,True,True
fonts/Alegreya-Bold.ttf,True,True,True
fonts/Alegreya-BoldItalic.ttf,True,True,True
fonts/Alegreya-Italic.ttf,True,True,True
fonts/Alegreya-Regular.ttf,True,True,True
fonts/AlegreyaSC-Black.ttf,True,True,True
fonts/AlegreyaSC-BlackItalic.ttf,True,True,True
fonts/AlegreyaSC-Bold.ttf,True,True,True
fonts/AlegreyaSC-BoldItalic.ttf,True,True,True
fonts/AlegreyaSC-Italic.ttf,True,True,True
fonts/AlegreyaSC-Regular.ttf,True,True,True
fonts/AlegreyaSans-Black.ttf,True,True,True
fonts/AlegreyaSans-BlackItalic.ttf,True,True,True
fonts/AlegreyaSans-Bold.ttf,True,True,True
fonts/AlegreyaSans-BoldItalic.ttf,True,True,True
fonts/AlegreyaSans-ExtraBold.ttf,True,True,True
fonts/AlegreyaSans-ExtraBoldItalic.ttf,True,True,True
fonts/AlegreyaSans-Italic.ttf,True,True,True
fonts/AlegreyaSans-Light.ttf,True,True,True
fonts/AlegreyaSans-LightItalic.ttf,True,True,True
fonts/AlegreyaSans-Medium.ttf,True,True,True
fonts/AlegreyaSans-MediumItalic.ttf,True,True,True
fonts/AlegreyaSans-Regular.ttf,True,True,True
fonts/AlegreyaSans-Thin.ttf,True,True,True
fonts/AlegreyaSans-ThinItalic.ttf,True,True,True
fonts/AlegreyaSansSC-Black.ttf,True,True,True
fonts/AlegreyaSansSC-BlackItalic.ttf,True,True,True
fonts/AlegreyaSansSC-Bold.ttf,True,True,True
fonts/AlegreyaSansSC-BoldItalic.ttf,True,True,True
fonts/AlegreyaSansSC-ExtraBold.ttf,True,True,True
fonts/AlegreyaSansSC-ExtraBoldItalic.ttf,True,True,True
fonts/AlegreyaSansSC-Italic.ttf,True,True,True
fonts/AlegreyaSansSC-Light.ttf,True,True,True
fonts/AlegreyaSansSC-LightItalic.ttf,True,True,True
fonts/AlegreyaSansSC-Medium.ttf,True,True,True
fonts/AlegreyaSansSC-MediumItalic.ttf,True,True,True
fonts/AlegreyaSansSC-Regular.ttf,True,True,True
fonts/AlegreyaSansSC-Thin.ttf,True,True,True
fonts/AlegreyaSansSC-ThinItalic.ttf,True,True,True
fonts/Aleo-Bold.otf,True,True,True
fonts/Aleo-BoldItalic.otf,True,True,True
fonts/Aleo-Italic.otf,True,True,True
fonts/Aleo-Light.otf,True,True,True
fonts/Aleo-LightItalic.otf,True,True,True
fonts/Aleo-Regular.otf,True,True,True
fonts/AlexBrush-Regular.ttf,True,True,True
fonts/AlfaSlabOne-Regular.ttf,True,True,True
fonts/Alfabilder.ttf,True,True,True
fonts/Alice in Wonderland.ttf,True,True,True
fonts/Aliensatemymum.ttf,True,True,True
fonts/Alike-Regular.ttf,True,True,True
fonts/AlikeAngular-Regular.ttf,True,True,True
fonts/Allan-Bold.ttf,True,True,True
fonts/Allan-Regular.ttf,True,True,True
fonts/AllerDisplay_Std_Rg.ttf,True,True,True
fonts/Aller_Std_Bd.ttf,True,True,True
fonts/Aller_Std_BdIt.ttf,True,True,True
fonts/Aller_Std_It.ttf,True,True,True
fonts/Aller_Std_Lt.ttf,True,True,True
fonts/Aller_Std_LtIt.ttf,True,True,True
fonts/Aller_Std_Rg.ttf,True,True,True
fonts/Allura-Regular.ttf,True,True,True
fonts/Almendra-Bold.ttf,True,True,True
fonts/Almendra-BoldItalic.ttf,True,True,True
fonts/Almendra-Italic.ttf,True,True,True
fonts/Almendra-Regular.ttf,True,True,True
fonts/AlmendraDisplay-Regular.ttf,True,True,True
fonts/AlmendraSC-Regular.ttf,True,True,True
fonts/AlnairStar-Regular.ttf,True,True,True
fonts/Alpenkreuzer.ttf,False,True,False
