path,hasLower,hasNum
fonts/Alpha54.ttf,True,True
fonts/Alphahate.ttf,True,True
fonts/Alphd___.ttf,True,True
fonts/Alpine.ttf,True,True
fonts/AlteHaasGroteskBold.ttf,True,True
fonts/AlteHaasGroteskRegular.ttf,True,True
fonts/Always Together.otf,True,True
fonts/Amarante-Regular.ttf,True,True
fonts/Amaranth-Bold.ttf,True,True
fonts/Amaranth-BoldItalic.ttf,True,True
fonts/Amaranth-Italic.ttf,True,True
fonts/Amaranth-Regular.ttf,True,True
fonts/Amazonas.ttf,True,True
fonts/Amethysta-Regular.ttf,True,True
fonts/Amiko-Bold.ttf,True,True
fonts/Amiko-Regular.ttf,True,True
fonts/Amiko-SemiBold.ttf,True,True
fonts/Amsterdrum Grotesk.ttf,True,True
fonts/AnchorSteamNF.otf,True,True
fonts/Andada-Bold.otf,True,True
fonts/Andada-BoldItalic.otf,True,True
fonts/Andada-Italic.otf,True,True
fonts/Andada-Regular.otf,True,True
fonts/Andala-Bold.ttf,True,True
fonts/Andala-BoldItalic.ttf,True,True
fonts/Andala-Italic.ttf,True,True
fonts/Andala.ttf,True,True
fonts/Andika-R.ttf,True,True
fonts/Anita semi square.ttf,True,True
fonts/Anke.otf,True,True
fonts/Anke.ttf,True,True
fonts/AnonymousPro-Bold.ttf,True,True
fonts/AnonymousPro-BoldItalic.ttf,True,True
fonts/AnonymousPro-Italic.ttf,True,True
fonts/AnonymousPro-Regular.ttf,True,True
fonts/Answer-Italic.ttf,True,True
fonts/Answer.ttf,True,True
fonts/Answer3DFilled.ttf,True,True
fonts/Antapani-ExtraBold.otf,True,True
fonts/Antic-Regular.ttf,True,True
fonts/AnticDidone-Regular.ttf,True,True
fonts/AnticSlab-Regular.ttf,True,True
fonts/Antique Book Cover.otf,True,True
fonts/AntiqueNo14.ttf,True,True
fonts/Antonio-Bold.ttf,True,True
fonts/Antonio-Light.ttf,True,True
fonts/Antonio-Regular.ttf,True,True
fonts/Aquifer.otf,True,True
fonts/Aquifer.ttf,True,True
fonts/Arapey-Italic.ttf,True,True
fonts/Arapey-Regular.ttf,True,True
fonts/Arbutus-Regular.ttf,True,True
fonts/ArbutusSlab-Regular.ttf,True,True
fonts/Archivo-Bold.ttf,True,True
fonts/Archivo-BoldItalic.ttf,True,True
fonts/Archivo-Italic.ttf,True,True
fonts/Archivo-Medium.ttf,True,True
fonts/Archivo-MediumItalic.ttf,True,True
fonts/Archivo-Regular.ttf,True,True
fonts/Archivo-SemiBold.ttf,True,True
fonts/Archivo-SemiBoldItalic.ttf,True,True
fonts/ArchivoBlack-Regular.otf,True,True
fonts/ArchivoBlack-Regular.ttf,True,True
fonts/ArchivoNarrow-Bold.otf,True,True
fonts/ArchivoNarrow-Bold.ttf,True,True
fonts/ArchivoNarrow-BoldItalic.otf,True,True
fonts/ArchivoNarrow-BoldItalic.ttf,True,True
fonts/ArchivoNarrow-Italic.otf,True,True
fonts/ArchivoNarrow-Italic.ttf,True,True
fonts/ArchivoNarrow-Regular.otf,True,True
fonts/ArchivoNarrow-Regular.ttf,True,True
fonts/ArcoPerpetuo-Regular.ttf,True,True
fonts/Arcon-Regular.otf,True,True
fonts/Ardeco-webfont.ttf,True,True
fonts/ArgentumSans-Black.ttf,True,True
fonts/ArgentumSans-BlackItalic.ttf,True,True
fonts/ArgentumSans-Bold.ttf,True,True
fonts/ArgentumSans-BoldItalic.ttf,True,True
fonts/ArgentumSans-ExtraBold.ttf,True,True
fonts/ArgentumSans-ExtraBoldItalic.ttf,True,True
fonts/ArgentumSans-ExtraLight.ttf,True,True
fonts/ArgentumSans-ExtraLightItalic.ttf,True,True
fonts/ArgentumSans-Italic.ttf,True,True
fonts/ArgentumSans-Light.ttf,True,True
fonts/ArgentumSans-LightItalic.ttf,True,True
fonts/ArgentumSans-Medium.ttf,True,True
fonts/ArgentumSans-MediumItalic.ttf,True,True
fonts/ArgentumSans-Regular.ttf,True,True
fonts/ArgentumSans-SemiBold.ttf,True,True
fonts/ArgentumSans-SemiBoldItalic.ttf,True,True
fonts/ArgentumSans-Thin.ttf,True,True
fonts/ArgentumSans-ThinItalic.ttf,True,True
fonts/ArgosGeorgeContour.ttf,True,True
fonts/ArimaMadurai-Black.ttf,True,True
fonts/ArimaMadurai-Bold.ttf,True,True
fonts/ArimaMadurai-ExtraBold.ttf,True,True
fonts/ArimaMadurai-ExtraLight.ttf,True,True
fonts/ArimaMadurai-Light.ttf,True,True
fonts/ArimaMadurai-Medium.ttf,True,True
fonts/ArimaMadurai-Regular.ttf,True,True
fonts/ArimaMadurai-Thin.ttf,True,True
fonts/Arimo-Bold.ttf,True,True
fonts/Arimo-BoldItalic.ttf,True,True
fonts/Arimo-Italic.ttf,True,True
fonts/Arimo-Regular.ttf,True,True
fonts/Armata-Regular.ttf,True,True
fonts/Arnoia Display Italic.otf,True,True
fonts/Arnoia Display.otf,True,True
fonts/Artega.otf,True,True
fonts/Artifika-Regular.ttf,True,True
fonts/Arvin Bold Italic.ttf,True,True
fonts/Arvin Bold.ttf,True,True
fonts/Arvin Italic.ttf,True,True
fonts/Arvin Light Italic.ttf,True,True
fonts/Arvin Light.ttf,True,True
fonts/Arvin.ttf,True,True
fonts/Arvo-Bold.ttf,True,True
fonts/Arvo-BoldItalic.ttf,True,True
fonts/Arvo-Italic.ttf,True,True
fonts/Arvo-Regular.ttf,True,True
fonts/Asap-Bold.otf,True,True
fonts/Asap-Bold.ttf,True,True
fonts/Asap-BoldItalic.otf,True,True
fonts/Asap-BoldItalic.ttf,True,True
fonts/Asap-Italic.otf,True,True
fonts/Asap-Italic.ttf,True,True
fonts/Asap-Regular.otf,True,True
fonts/Asap-Regular.ttf,True,True
fonts/AsapCondensed-Bold.ttf,True,True
fonts/AsapCondensed-BoldItalic.ttf,True,True
fonts/AsapCondensed-Italic.ttf,True,True
fonts/AsapCondensed-Medium.ttf,True,True
fonts/AsapCondensed-MediumItalic.ttf,True,True
fonts/AsapCondensed-Regular.ttf,True,True
fonts/AsapCondensed-SemiBold.ttf,True,True
fonts/AsapCondensed-SemiBoldItalic.ttf,True,True
fonts/Asgalt-Regular.ttf,True,True
fonts/Ashfiana Oblique.otf,True,True
fonts/Ashfiana Oblique.ttf,True,True
fonts/Asket Condensed Extrabold.otf,True,True
fonts/Asket Condensed Extrabold.ttf,True,True
fonts/Asket Extended Light.otf,True,True
fonts/Asket Extended Light.ttf,True,True
fonts/Asket Extrabold.otf,True,True
fonts/Asket Extrabold.ttf,True,True
fonts/Asket Narrow Light.otf,True,True
fonts/Asket Narrow Light.ttf,True,True
fonts/Aspargo.ttf,True,True
fonts/Aspergit Bold Italic.otf,True,True
fonts/Aspergit Bold.otf,True,True
fonts/Assistant-Bold.ttf,True,True
fonts/Assistant-ExtraBold.ttf,True,True
fonts/Assistant-ExtraLight.ttf,True,True
fonts/Assistant-Light.ttf,True,True
fonts/Assistant-Regular.ttf,True,True
fonts/Assistant-SemiBold.ttf,True,True
fonts/Asul-Bold.ttf,True,True
fonts/Asul-Regular.ttf,True,True
fonts/AtlantisHeadline-Bold.otf,True,True
fonts/AtlantisHeadline-Bold.ttf,True,True
fonts/AtlantisText-Bold.otf,True,True
fonts/AtlantisText-Bold.ttf,True,True
fonts/AtomicAge-Regular.ttf,True,True
fonts/Aubrey-Regular.ttf,True,True
fonts/Audiowide-Regular.ttf,True,True
fonts/Aurach Heavy.ttf,True,True
fonts/AurelisADFNo2Std-Bold.otf,True,True
fonts/AurelisADFNo2Std-BoldItalic.otf,True,True
fonts/AurelisADFNo2Std-Regular.otf,True,True
fonts/AurelisADFScriptNo2Std-CdIta.otf,True,True
fonts/AurelisADFScriptNo2Std-ExtIt.otf,True,True
fonts/AutourOne-Regular.ttf,True,True
fonts/AvenueX-Regular.otf,True,True
fonts/Average-Regular.ttf,True,True
fonts/AverageSans-Regular.ttf,True,True
fonts/AveriaGruesaLibre-Regular.ttf,True,True
fonts/AveriaLibre-Bold.ttf,True,True
fonts/AveriaLibre-BoldItalic.ttf,True,True
fonts/AveriaLibre-Italic.ttf,True,True
fonts/AveriaLibre-Light.ttf,True,True
fonts/AveriaLibre-LightItalic.ttf,True,True
fonts/AveriaLibre-Regular.ttf,True,True
fonts/AveriaSansLibre-Bold.ttf,True,True
fonts/AveriaSansLibre-BoldItalic.ttf,True,True
fonts/AveriaSansLibre-Italic.ttf,True,True
fonts/AveriaSansLibre-Light.ttf,True,True
fonts/AveriaSansLibre-LightItalic.ttf,True,True
fonts/AveriaSansLibre-Regular.ttf,True,True
fonts/AveriaSerifLibre-Bold.ttf,True,True
fonts/AveriaSerifLibre-BoldItalic.ttf,True,True
fonts/AveriaSerifLibre-Italic.ttf,True,True
fonts/AveriaSerifLibre-Light.ttf,True,True
fonts/AveriaSerifLibre-LightItalic.ttf,True,True
fonts/AveriaSerifLibre-Regular.ttf,True,True
fonts/AvrileSans-Black.ttf,True,True
fonts/AvrileSans-BlackItalic.ttf,True,True
fonts/AvrileSans-Bold.ttf,True,True
fonts/AvrileSans-BoldItalic.ttf,True,True
fonts/AvrileSans-ExtraBold.ttf,True,True
fonts/AvrileSans-ExtraBoldItalic.ttf,True,True
fonts/AvrileSans-ExtraLight.ttf,True,True
fonts/AvrileSans-ExtraLightItalic.ttf,True,True
fonts/AvrileSans-Italic.ttf,True,True
